,@detection-method,@first-seen,@id,@last-updated,@severity,@status,code->#text,code->@start-line,comments->comment->#text,comments->comment->@commenter,comments->comment->@time,cwe->#text,cwe->@href,cwe->@id,location->@path,location->@type,location->line->@end,location->line->@start,results->result->@creation-time,results->result->@detection-method,results->result->@hash,results->result->@id,results->result->@severity,results->result->cves->cve->@sequence-number,results->result->cves->cve->@year,results->result->cwe->#text,results->result->cwe->@href,results->result->cwe->@id,results->result->description->#text,results->result->description->@format,results->result->location->@path,results->result->location->@raw-path,results->result->location->@type,results->result->location->column->@end,results->result->location->column->@start,results->result->location->line->@end,results->result->location->line->@start,results->result->tool->@category,results->result->tool->@code,results->result->tool->@name,results->result->tool->rule->@code,results->result->tool->rule->@name,results->result->tool->rule->description->#text,results->result->tool->rule->description->@format,rule->@code,rule->@name,rule->description->#text,rule->description->@format,standards->standard->@name,standards->standard->@violation,escalated_predicted,escalated_values_predicted,escalated_binary_predicted
0,Component Analysis,2020-05-18T14:51:00-04:00,66547,2020-05-18T14:54:28-04:00,high,escalated,,,,,,CWE-937: OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities,http://cwevis.org/browse/937,937,Components/https-proxy-agent,logical,,,2020-05-18T14:52:15-04:00,Component Analysis,de4a92e3335b8c22d172ebfa95cbb88147c1e43d00d53c17fa3fcd1d915feba5,204111,high,,,,,,"Versions of `https-proxy-agent` prior to 2.2.3 are vulnerable to Machine-In-The-Middle. The package fails to enforce TLS on the socket if the proxy server responds the to the request with a HTTP status different than 200. This allows an attacker with access to the proxy server to intercept unencrypted communications, which may include sensitive information such as credentials.",plain-text,ProgramData/Code Dx/codedx_appdata/temp-files/store8838356813798345838_atom-x64-windows-369134701/Atom x64/resources/app/apm/package-lock.json?https-proxy-agent,C:\ProgramData\Code Dx\codedx_appdata\temp-files\store8838356813798345838_atom-x64-windows-369134701\Atom x64\resources\app\apm\package-lock.json?https-proxy-agent,file,,,,,,1184,Dependency-Check,DependencyCheck--1184,1184,Advisory 1184: Machine-In-The-Middle: - [HackerOne Report](https://hackerone.com/reports/541502),markdown,rule-153a7cf14b4e05a3b7495cf4a975c90c2d9c7422d3cc73751cb0c37ec23edd5e,Using Components with Known Vulnerabilities,"Components, such as libraries, frameworks, and other software modules, almost always run with full privileges. If a vulnerable component is exploited, such an attack can facilitate serious data loss or server takeover. Applications using components with known vulnerabilities may undermine application defenses and enable a range of possible attacks and impacts.

**References**

- [OWASP Top 10-A9: Using Components with Known Vulnerabilities](https://www.owasp.org/index.php/Top_10_2013-A9-Using_Components_with_Known_Vulnerabilities)
- [The Unfortunate Reality of Insecure Libraries](https://www.contrastsecurity.com/the-unfortunate-reality-of-insecure-libraries)
- [Addressing Security Concerns in Open Source Components](http://img.en25.com/Web/SonatypeInc/%7Bb2fa5ed8-938d-4bce-8a9c-d08ebeba826d%7D_Executive_Brief_-_Study-_Understanding_Security_Risks_in_OSS_Components-1.pdf)",markdown,,,escalated,0.8380073,1
1,Component Analysis,2020-05-18T14:51:00-04:00,66548,2020-05-18T14:54:28-04:00,critical,escalated,,,,,,CWE-937: OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities,http://cwevis.org/browse/937,937,Components/open:0.0.5,logical,,,2020-05-18T14:52:15-04:00,Component Analysis,b7d43436a886f67b3b5ac1a33bd1b00073f0ca3f4257e810c554c80b6039b497,204117,critical,,,,,,"Versions of `open` before 6.0.0 are vulnerable to command injection when unsanitized user input is passed in.

The package does come with the following warning in the readme:

```
The same care should be taken when calling open as if you were calling child_process.exec directly. If it is an executable it will run in a new shell.
```",plain-text,ProgramData/Code Dx/codedx_appdata/temp-files/store8838356813798345838_atom-x64-windows-369134701/Atom x64/resources/app/apm/package-lock.json?open,C:\ProgramData\Code Dx\codedx_appdata\temp-files\store8838356813798345838_atom-x64-windows-369134701\Atom x64\resources\app\apm\package-lock.json?open,file,,,,,,663,Dependency-Check,DependencyCheck--663,663,Advisory 663: Command Injection: - [HackerOne Report](https://hackerone.com/reports/319473),markdown,rule-153a7cf14b4e05a3b7495cf4a975c90c2d9c7422d3cc73751cb0c37ec23edd5e,Using Components with Known Vulnerabilities,"Components, such as libraries, frameworks, and other software modules, almost always run with full privileges. If a vulnerable component is exploited, such an attack can facilitate serious data loss or server takeover. Applications using components with known vulnerabilities may undermine application defenses and enable a range of possible attacks and impacts.

**References**

- [OWASP Top 10-A9: Using Components with Known Vulnerabilities](https://www.owasp.org/index.php/Top_10_2013-A9-Using_Components_with_Known_Vulnerabilities)
- [The Unfortunate Reality of Insecure Libraries](https://www.contrastsecurity.com/the-unfortunate-reality-of-insecure-libraries)
- [Addressing Security Concerns in Open Source Components](http://img.en25.com/Web/SonatypeInc/%7Bb2fa5ed8-938d-4bce-8a9c-d08ebeba826d%7D_Executive_Brief_-_Study-_Understanding_Security_Risks_in_OSS_Components-1.pdf)",markdown,,,escalated,0.8406286,1
2,Component Analysis,2020-05-18T14:51:00-04:00,66550,2020-05-18T14:54:28-04:00,medium,escalated,,,,,,CWE-937: OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities,http://cwevis.org/browse/937,937,Components/jquery:2.0.3,logical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rule-153a7cf14b4e05a3b7495cf4a975c90c2d9c7422d3cc73751cb0c37ec23edd5e,Using Components with Known Vulnerabilities,"Components, such as libraries, frameworks, and other software modules, almost always run with full privileges. If a vulnerable component is exploited, such an attack can facilitate serious data loss or server takeover. Applications using components with known vulnerabilities may undermine application defenses and enable a range of possible attacks and impacts.

**References**

- [OWASP Top 10-A9: Using Components with Known Vulnerabilities](https://www.owasp.org/index.php/Top_10_2013-A9-Using_Components_with_Known_Vulnerabilities)
- [The Unfortunate Reality of Insecure Libraries](https://www.contrastsecurity.com/the-unfortunate-reality-of-insecure-libraries)
- [Addressing Security Concerns in Open Source Components](http://img.en25.com/Web/SonatypeInc/%7Bb2fa5ed8-938d-4bce-8a9c-d08ebeba826d%7D_Executive_Brief_-_Study-_Understanding_Security_Risks_in_OSS_Components-1.pdf)",markdown,,,escalated,0.82287014,1
3,Component Analysis,2020-05-18T14:51:00-04:00,66551,2020-05-18T14:54:28-04:00,high,escalated,,,,,,CWE-937: OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities,http://cwevis.org/browse/937,937,Components/libexpat,logical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rule-153a7cf14b4e05a3b7495cf4a975c90c2d9c7422d3cc73751cb0c37ec23edd5e,Using Components with Known Vulnerabilities,"Components, such as libraries, frameworks, and other software modules, almost always run with full privileges. If a vulnerable component is exploited, such an attack can facilitate serious data loss or server takeover. Applications using components with known vulnerabilities may undermine application defenses and enable a range of possible attacks and impacts.

**References**

- [OWASP Top 10-A9: Using Components with Known Vulnerabilities](https://www.owasp.org/index.php/Top_10_2013-A9-Using_Components_with_Known_Vulnerabilities)
- [The Unfortunate Reality of Insecure Libraries](https://www.contrastsecurity.com/the-unfortunate-reality-of-insecure-libraries)
- [Addressing Security Concerns in Open Source Components](http://img.en25.com/Web/SonatypeInc/%7Bb2fa5ed8-938d-4bce-8a9c-d08ebeba826d%7D_Executive_Brief_-_Study-_Understanding_Security_Risks_in_OSS_Components-1.pdf)",markdown,,,escalated,0.8306581,1
4,Component Analysis,2020-05-18T14:51:00-04:00,66554,2020-05-18T14:54:28-04:00,high,escalated,,,,,,CWE-937: OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities,http://cwevis.org/browse/937,937,Components/cryptiles,logical,,,2020-05-18T14:52:15-04:00,Component Analysis,98a443e5db3e1641dc9239db8d90113c6c106607951ec53a350652f4ebc0bbbc,204122,high,,,,,,Versions of `cryptiles` prior to 4.1.2 are vulnerable to Insufficient Entropy. The `randomDigits()` method does not provide sufficient entropy and its generates digits that are not evenly distributed.,plain-text,ProgramData/Code Dx/codedx_appdata/temp-files/store8838356813798345838_atom-x64-windows-369134701/Atom x64/resources/app/apm/package-lock.json?cryptiles,C:\ProgramData\Code Dx\codedx_appdata\temp-files\store8838356813798345838_atom-x64-windows-369134701\Atom x64\resources\app\apm\package-lock.json?cryptiles,file,,,,,,1464,Dependency-Check,DependencyCheck--1464,1464,Advisory 1464: Insufficient Entropy: - [GitHub PR](https://github.com/hapijs/cryptiles/issues/34),markdown,rule-153a7cf14b4e05a3b7495cf4a975c90c2d9c7422d3cc73751cb0c37ec23edd5e,Using Components with Known Vulnerabilities,"Components, such as libraries, frameworks, and other software modules, almost always run with full privileges. If a vulnerable component is exploited, such an attack can facilitate serious data loss or server takeover. Applications using components with known vulnerabilities may undermine application defenses and enable a range of possible attacks and impacts.

**References**

- [OWASP Top 10-A9: Using Components with Known Vulnerabilities](https://www.owasp.org/index.php/Top_10_2013-A9-Using_Components_with_Known_Vulnerabilities)
- [The Unfortunate Reality of Insecure Libraries](https://www.contrastsecurity.com/the-unfortunate-reality-of-insecure-libraries)
- [Addressing Security Concerns in Open Source Components](http://img.en25.com/Web/SonatypeInc/%7Bb2fa5ed8-938d-4bce-8a9c-d08ebeba826d%7D_Executive_Brief_-_Study-_Understanding_Security_Risks_in_OSS_Components-1.pdf)",markdown,,,escalated,0.8328197,1
5,Component Analysis,2020-05-18T14:51:00-04:00,66555,2020-05-18T14:54:28-04:00,critical,escalated,,,,,,CWE-937: OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities,http://cwevis.org/browse/937,937,Components/pcre,logical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rule-153a7cf14b4e05a3b7495cf4a975c90c2d9c7422d3cc73751cb0c37ec23edd5e,Using Components with Known Vulnerabilities,"Components, such as libraries, frameworks, and other software modules, almost always run with full privileges. If a vulnerable component is exploited, such an attack can facilitate serious data loss or server takeover. Applications using components with known vulnerabilities may undermine application defenses and enable a range of possible attacks and impacts.

**References**

- [OWASP Top 10-A9: Using Components with Known Vulnerabilities](https://www.owasp.org/index.php/Top_10_2013-A9-Using_Components_with_Known_Vulnerabilities)
- [The Unfortunate Reality of Insecure Libraries](https://www.contrastsecurity.com/the-unfortunate-reality-of-insecure-libraries)
- [Addressing Security Concerns in Open Source Components](http://img.en25.com/Web/SonatypeInc/%7Bb2fa5ed8-938d-4bce-8a9c-d08ebeba826d%7D_Executive_Brief_-_Study-_Understanding_Security_Risks_in_OSS_Components-1.pdf)",markdown,,,escalated,0.8275683,1
6,Component Analysis,2020-05-18T14:51:00-04:00,66556,2020-05-18T14:54:28-04:00,critical,escalated,,,,,,CWE-937: OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities,http://cwevis.org/browse/937,937,Components/sqlite,logical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rule-153a7cf14b4e05a3b7495cf4a975c90c2d9c7422d3cc73751cb0c37ec23edd5e,Using Components with Known Vulnerabilities,"Components, such as libraries, frameworks, and other software modules, almost always run with full privileges. If a vulnerable component is exploited, such an attack can facilitate serious data loss or server takeover. Applications using components with known vulnerabilities may undermine application defenses and enable a range of possible attacks and impacts.

**References**

- [OWASP Top 10-A9: Using Components with Known Vulnerabilities](https://www.owasp.org/index.php/Top_10_2013-A9-Using_Components_with_Known_Vulnerabilities)
- [The Unfortunate Reality of Insecure Libraries](https://www.contrastsecurity.com/the-unfortunate-reality-of-insecure-libraries)
- [Addressing Security Concerns in Open Source Components](http://img.en25.com/Web/SonatypeInc/%7Bb2fa5ed8-938d-4bce-8a9c-d08ebeba826d%7D_Executive_Brief_-_Study-_Understanding_Security_Risks_in_OSS_Components-1.pdf)",markdown,,,escalated,0.8275683,1
7,Component Analysis,2020-05-18T14:51:00-04:00,66558,2020-05-18T14:54:28-04:00,high,escalated,,,,,,CWE-937: OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities,http://cwevis.org/browse/937,937,Components/fstream,logical,,,2020-05-18T14:52:15-04:00,Component Analysis,ff96d76d503d09052a39ba2f97e31b86d496c820b4ea8b10018567d27bca08b6,204120,high,,,,,,Versions of `fstream` prior to 1.0.12 are vulnerable to Arbitrary File Overwrite. Extracting tarballs containing a hardlink to a file that already exists in the system and a file that matches the hardlink will overwrite the system's file with the contents of the extracted file. The `fstream.DirWriter()` function is vulnerable.,plain-text,ProgramData/Code Dx/codedx_appdata/temp-files/store8838356813798345838_atom-x64-windows-369134701/Atom x64/resources/app/apm/package-lock.json?fstream,C:\ProgramData\Code Dx\codedx_appdata\temp-files\store8838356813798345838_atom-x64-windows-369134701\Atom x64\resources\app\apm\package-lock.json?fstream,file,,,,,,886,Dependency-Check,DependencyCheck--886,886,Advisory 886: Arbitrary File Overwrite: - [GitHub Commit](https://github.com/npm/fstream/commit/6a77d2fa6e1462693cf8e46f930da96ec1b0bb22),markdown,rule-153a7cf14b4e05a3b7495cf4a975c90c2d9c7422d3cc73751cb0c37ec23edd5e,Using Components with Known Vulnerabilities,"Components, such as libraries, frameworks, and other software modules, almost always run with full privileges. If a vulnerable component is exploited, such an attack can facilitate serious data loss or server takeover. Applications using components with known vulnerabilities may undermine application defenses and enable a range of possible attacks and impacts.

**References**

- [OWASP Top 10-A9: Using Components with Known Vulnerabilities](https://www.owasp.org/index.php/Top_10_2013-A9-Using_Components_with_Known_Vulnerabilities)
- [The Unfortunate Reality of Insecure Libraries](https://www.contrastsecurity.com/the-unfortunate-reality-of-insecure-libraries)
- [Addressing Security Concerns in Open Source Components](http://img.en25.com/Web/SonatypeInc/%7Bb2fa5ed8-938d-4bce-8a9c-d08ebeba826d%7D_Executive_Brief_-_Study-_Understanding_Security_Risks_in_OSS_Components-1.pdf)",markdown,,,escalated,0.83764327,1
8,Component Analysis,2020-05-18T14:51:00-04:00,66560,2020-05-18T14:54:28-04:00,high,escalated,,,,,,CWE-937: OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities,http://cwevis.org/browse/937,937,Components/git,logical,,,2020-05-18T14:52:16-04:00,Component Analysis,99dd0351f6e74ad9c309c94dc7a80c38b16b370eb35329591e962dfba4997d1b,204449,high,2542,2010,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,http://cwevis.org/browse/119,119,Stack-based buffer overflow in the is_git_directory function in setup.c in Git before 1.7.2.1 allows local users to gain privileges via a long gitdir: field in a .git file in a working copy.,plain-text,Atom x64/resources/app.asar.unpacked/node_modules/dugite/git/mingw64/bin/git-sh-i18n--envsubst.exe,C:\ProgramData\Code Dx\codedx_appdata\temp-files\store8838356813798345838_atom-x64-windows-369134701\Atom x64\resources\app.asar.unpacked\node_modules\dugite\git\mingw64\bin\git-sh-i18n--envsubst.exe,file,,,,,,CVE-2010-2542,Dependency-Check,DependencyCheck--CVE20102542,CVE-2010-2542,"* [http://www.kernel.org/pub/software/scm/git/docs/RelNotes-1.7.2.1.txt](<http://www.kernel.org/pub/software/scm/git/docs/RelNotes-1.7.2.1.txt>)
* [https://bugzilla.redhat.com/show_bug.cgi?id=618108](<https://bugzilla.redhat.com/show_bug.cgi?id=618108>)
* [[oss-security] 20100722 Re: CVE request: git](<http://www.openwall.com/lists/oss-security/2010/07/22/4>)
* [http://git.kernel.org/?p=git/git.git;a=commit;h=3c9d0414ed2db0167e6c828b547be8fc9f88fccc](<http://git.kernel.org/?p=git/git.git;a=commit;h=3c9d0414ed2db0167e6c828b547be8fc9f88fccc>)
* [ADV-2011-0464](<http://www.vupen.com/english/advisories/2011/0464>)
* [43457](<http://secunia.com/advisories/43457>)
* [[oss-security] 20100721 CVE request: git](<http://www.openwall.com/lists/oss-security/2010/07/22/1>)
* [SUSE-SR:2011:004](<http://lists.opensuse.org/opensuse-security-announce/2011-02/msg00004.html>)
* [41891](<http://www.securityfocus.com/bid/41891>)",markdown,rule-153a7cf14b4e05a3b7495cf4a975c90c2d9c7422d3cc73751cb0c37ec23edd5e,Using Components with Known Vulnerabilities,"Components, such as libraries, frameworks, and other software modules, almost always run with full privileges. If a vulnerable component is exploited, such an attack can facilitate serious data loss or server takeover. Applications using components with known vulnerabilities may undermine application defenses and enable a range of possible attacks and impacts.

**References**

- [OWASP Top 10-A9: Using Components with Known Vulnerabilities](https://www.owasp.org/index.php/Top_10_2013-A9-Using_Components_with_Known_Vulnerabilities)
- [The Unfortunate Reality of Insecure Libraries](https://www.contrastsecurity.com/the-unfortunate-reality-of-insecure-libraries)
- [Addressing Security Concerns in Open Source Components](http://img.en25.com/Web/SonatypeInc/%7Bb2fa5ed8-938d-4bce-8a9c-d08ebeba826d%7D_Executive_Brief_-_Study-_Understanding_Security_Risks_in_OSS_Components-1.pdf)",markdown,,,escalated,0.85588914,1
9,Component Analysis,2020-05-18T14:51:00-04:00,66561,2020-05-18T14:54:28-04:00,high,escalated,,,,,,CWE-937: OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities,http://cwevis.org/browse/937,937,Components/tar,logical,,,2020-05-18T14:52:15-04:00,Component Analysis,847a3ec818741c3f9ce13a7b0344672e5bd2dd32b011e1ba258094e52346bf95,204123,high,,,,,,"Versions of `tar` prior to 4.4.2 for 4.x and 2.2.2 for 2.x are vulnerable to Arbitrary File Overwrite. Extracting tarballs containing a hardlink to a file that already exists in the system, and a file that matches the hardlink will overwrite the system's file with the contents of the extracted file.",plain-text,ProgramData/Code Dx/codedx_appdata/temp-files/store8838356813798345838_atom-x64-windows-369134701/Atom x64/resources/app/apm/package-lock.json?tar,C:\ProgramData\Code Dx\codedx_appdata\temp-files\store8838356813798345838_atom-x64-windows-369134701\Atom x64\resources\app\apm\package-lock.json?tar,file,,,,,,803,Dependency-Check,DependencyCheck--803,803,Advisory 803: Arbitrary File Overwrite: - [HackerOne Report](https://hackerone.com/reports/344595),markdown,rule-153a7cf14b4e05a3b7495cf4a975c90c2d9c7422d3cc73751cb0c37ec23edd5e,Using Components with Known Vulnerabilities,"Components, such as libraries, frameworks, and other software modules, almost always run with full privileges. If a vulnerable component is exploited, such an attack can facilitate serious data loss or server takeover. Applications using components with known vulnerabilities may undermine application defenses and enable a range of possible attacks and impacts.

**References**

- [OWASP Top 10-A9: Using Components with Known Vulnerabilities](https://www.owasp.org/index.php/Top_10_2013-A9-Using_Components_with_Known_Vulnerabilities)
- [The Unfortunate Reality of Insecure Libraries](https://www.contrastsecurity.com/the-unfortunate-reality-of-insecure-libraries)
- [Addressing Security Concerns in Open Source Components](http://img.en25.com/Web/SonatypeInc/%7Bb2fa5ed8-938d-4bce-8a9c-d08ebeba826d%7D_Executive_Brief_-_Study-_Understanding_Security_Risks_in_OSS_Components-1.pdf)",markdown,,,escalated,0.8409416,1
